Profile,Lat,Long,Depth,Symbol,SiBCS,Soil taxonomy,Soil order,PM,Lab_SOM,LAB_L_dry,LAB_A_dry,LAB_B_dry,LAB_L_moist,LAB_A_moist,LAB_B_moist,pXRF_Ag,pXRF_Al2O3,pXRF_As,pXRF_Bi,pXRF_CaO,pXRF_Ce,pXRF_Cl,pXRF_Cr,pXRF_Cu,pXRF_Fe,pXRF_K2O,pXRF_Mn,pXRF_Mo,pXRF_Nb,pXRF_Ni,pXRF_P2O5,pXRF_Pb,pXRF_Rb,pXRF_SiO2,pXRF_Sr,pXRF_Ta,pXRF_Ti,pXRF_Tl,pXRF_V,pXRF_Y,pXRF_Zn,pXRF_Zr
53,7651631,502824,0-20,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gneiss,0.8120649651972157,37.45,22.39,25.61,26.38,17.17,15.49,0,219884,3,0,758,0,819,424,24,25308,3502,95,0,0,65,207,6,8,360240,8,11,7849,16,111,0,31,268
30,7652020,502188,0-20,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gneiss,3.248259860788863,46.51,5.96,15.29,30.32,5.36,10.81,0,160214,5,0,1750,0,558,74,17,29073,2611,510,3,2,16,357,0,8,346987,13,4,7166,0,69,2,25,303
30,7652020,502188,20-60,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gneiss,1.6821345707656612,51.63,5.3,15.05,32.72,5.83,11.98,5,206057,3,0,638,255,703,101,17,29904,3036,269,0,0,22,0,0,5,338492,4,13,8994,0,73,0,26,305
23,7652023,502053,0-20,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gabbro,3.88631090487239,50.37,6.72,17.78,28.64,6.04,11.52,0,200454,3,0,4204,0,552,109,20,48896,3083,434,0,3,16,1068,20,10,301354,16,10,6011,0,19,0,44,207
23,7652023,502053,20-60,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gabbro,2.668213457076566,53.23,7.49,19.21,33.56,7.49,14.41,6,208832,0,0,2153,750,609,128,18,45706,3016,266,0,0,13,1156,13,7,306823,9,18,5912,15,24,0,39,180
89,7652045,503358,0-20,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gabbro,3.1322505800464038,47.81,8.73,22.35,31.58,8.02,15.53,0,155761,0,0,1689,356,450,891,42,83454,1547,353,0,0,130,1077,24,3,348876,0,0,11694,0,173,13,46,174
89,7652045,503358,20-60,GX,Gleissolo Háplico,Typic Endoaquents,Entisols,Gabbro,1.1020881670533642,50.3,9.9,27.31,31.72,8.47,18.89,0,167565,0,8,723,1030,506,1532,62,108611,1049,297,0,3,284,0,30,0,284605,0,0,11939,0,281,29,49,187
45,7651674,502612,60-100,LA,Latossolo Amarelo,Xanthic Hapludoxs,Oxisols,Gneiss,0.6380510440835268,65.27,17.24,32.61,44.78,19.08,28.75,6,266289,2,0,327,1455,612,259,16,55876,1983,78,0,8,18,0,0,0,276755,0,19,6979,22,0,0,20,213
121,7652744,503940,0-20,LA,Latossolo Amarelo,Xanthic Hapludoxs,Oxisols,Gneiss,3.480278422273782,47.94,12.55,23.22,33.33,12.43,17.96,0,170627,0,0,4712,840,548,587,44,85977,1932,351,0,17,30,1548,27,0,250866,12,0,10096,0,108,0,45,220
31,7651860,502239,0-20,LA,Latossolo Amarelo,Xanthic Hapludoxs,Oxisols,Gneiss,1.9721577726218098,51.81,6.9,17.89,34.89,8.22,15.51,0,217659,0,0,2058,738,631,68,16,41346,2326,151,0,0,13,905,0,4,303224,3,16,5647,0,0,0,25,207
31,7651860,502239,60-100,LA,Latossolo Amarelo,Xanthic Hapludoxs,Oxisols,Gneiss,0.6960556844547564,52.73,9.44,21.39,33.02,11.51,17.82,0,249377,1,0,765,1362,592,102,15,46891,1982,89,0,0,12,476,0,2,282348,0,19,5740,0,0,0,20,191
69,7651885.46172,503076.418079,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,0.580046403712297,43.13,20.14,25.42,31.13,19.59,20.36,0,160966,0,0,126,1710,725,271,36,96510,2160,347,0,5,39,0,17,2,194877,0,7,12601,20,0,0,24,214
69,7651885.46172,503076.418079,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,0.6960556844547564,45.07,20.44,26.33,32.42,20.1,20.81,0,176634,3,0,273,1572,757,307,37,95916,2093,320,0,11,35,339,10,0,214483,0,11,12377,15,26,0,24,205
69,7651885.46172,503076.418079,20-60,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.0440835266821347,44.96,19.21,25.38,31.67,18.15,19.64,0,182984,2,0,470,1395,525,345,36,91403,1947,279,4,0,31,309,0,0,218279,0,21,11416,20,42,0,21,195
69,7651885.46172,503076.418079,20-60,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.160092807424594,41.8,18.87,24.81,30.29,17.56,18.01,0,168510,0,0,490,1079,523,196,37,83477,1730,312,0,5,35,0,10,2,204898,0,7,10815,0,53,0,22,200
69,7651885.46172,503076.418079,0-20,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gneiss,1.6821345707656612,46.3,18.96,26.52,33.18,16.82,18.14,0,190471,0,0,1237,1421,482,272,38,89480,1860,336,0,5,31,224,8,5,234631,0,0,11962,0,90,0,25,217
73,7651255.46167,503133.418081,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.6380510440835268,40.93,16.44,20,31.13,12.64,14.44,0,181492,11,18,1193,0,243,1017,51,107727,1188,449,0,15,95,0,8,6,165911,0,24,13461,0,353,0,24,261
73,7651255.46167,503133.418081,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,0.9280742459396752,34.23,18.54,21.1,25.66,13.91,14.43,0,170971,16,0,1239,0,287,865,44,100544,1205,488,4,10,89,0,0,6,181538,0,14,12911,0,303,0,24,255
73,7651255.46167,503133.418081,60-100,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.740139211136891,35.71,17.02,21.39,25.42,13.16,13.21,0,169986,6,0,1474,829,271,848,43,94294,2106,597,0,11,59,600,16,6,205961,0,6,11441,0,158,0,23,236
73,7651255.46167,503133.418081,20-60,LV,Latossolo Vermelho,Anionic Acrudoxs,Oxisols,Gabbro,1.160092807424594,38.19,17.26,22.41,25.87,13.7,14.48,0,198295,13,0,1284,715,403,923,46,101267,2217,609,0,0,68,374,8,6,222574,0,8,11886,0,214,0,25,246
